bridge spider	# a large  often found on bridges and near water ().
bring down	# en To make a legitimate rulership lose their position of power.#: ''The rebel forces are trying to '''bring down''' the president and his government.''# en To reduce.#: ''The latest budget reforms are intended to '''bring down''' the level of inflation.''# en To humble.# en To make something, especially something flying, fall to the ground. Usually by firing a weapon of some kind.#: ''He '''brought down''' a pheasant with his first shot of the day.''# en To cause an opponent to fall after a tackle.|lang=en|date=December 28, 2010|author=Kevin Darlin|title=West Brom 1 - 3 Blackburn|work=BBC|url=http://news.bbc.co.uk/sport1/hi/football/eng_prem/9308862.stm|page=|passage=Kalinic later saw red for a rash tackle on Paul Scharner before Gabriel Tamas was dismissed for '''bringing down''' Diouf.}}enlb|en|transitive}}
butethamine	# en A particular local anesthetic
bayonetlike	# Resembling or characteristic of a bayonet.
beatnikism	# The social and artistic ideas associated with beatniks|passage=At the time, existentialism was the philosophical equivalent of '''beatnikism''', conjuring up images of berets, iconoclasm, and the rejection of status quo values.}}
beatnikish	# en Resembling or characteristic of a beatnik.
black durgon	# , a triggerfish with bright white lines running along its dorsal and anal fins.Category:en:Tetraodontiforms
bearling	# en A small, young, or juvenile bear; bear cub.
billy cart	# en A rudimentary child's cart; a soapbox car.
bottle-fed	# That has been fed by bottle
blacksmith	# A person who forges iron.# en A person who shoes horses; a farrier.# A blackish fish of the Pacific coast ().
bostanji	# One of the imperial guards of the Ottoman Empire.
boyzilian	# en A cosmetic treatment involving complete removal of a man's pubic hair by waxing.
biofather	# biological|Biological father 
bladerunner	# en a para-athlete who runs upon artificial feet colloquially known as "blades"
bederite	# en An orthorhombic-dipyramidal mineral containing aluminum, calcium, hydrogen, iron, magnesium, manganese, oxygen, phosphorus, and sodium.
bangtail muster	# en A muster of cattle, for counting and any of various other purposes, during which any animals not previously counted are bangtailed, treated and released.
barrier board	# en noncombustible board stock material of low thermal conductivity placed between two elements of a roof assembly.
baldmoney	# ''Meum athamanticum'', an ornamental plant in the Apiaceae family.# gentian|Gentian
bioinstrumentation	# The use of sensors attached to, or embedded in the body, to remotely monitor physiological function
bring on	# en To cause.#: ''Excessive drinking can '''bring on''' depression.''# en To make something appear, as on a stage or a place of competition.|lang=en|date=January 8, 2011|author=Paul Fletcher|title=Stevenage 3 - 1 Newcastle|work=BBC|url=http://news.bbc.co.uk/sport2/hi/football/fa_cup/9341905.stm|page=|passage=Stevenage's first-half performance forced a change of formation from Newcastle at the break, as they '''brought on''' Nile Ranger for Leon Best and switched to a 4-2-3-1 set-up.}}enlb|en|idiomatic|intransitive|US|informal|often|as imperative}}
butanoyl	# en A univalent radical derived from butanoic acid
blowbuddy	# en A male same-sex partner, especially for fellatio and mutual masturbation or by extension a close friend (humorous, mockingly)#: ''Tom, Dick, and Harry have been '''blowbuddies''' for years now.''
bit lifter	# piece of horse tack that lifts (raises) a bit in the horse's mouth
beer cheese	# en A cheese spread made with beer and seasonings.
bogotify	# en To make bogus, incorrect, or broken.
besulpamide	# A diuretic drug.Category:en:Drugs
bioresorbability	# The property of being bioresorbable.
back substitution	# en A method of solving linear systems that have been transformed into row-echelon form.
bright side	# A consoling aspect of a difficult situation.
bung up	# en To close an opening with a cork, cork like object or other improvised obstruction.#: # en To use up, as by bruising or overexertion; to exhaust or incapacitate for action.Category:English phrasal verbsCategory:English phrasal verbs with particle (up)
bismuth subsalicylate	# An antacid medication with chemical formula C<sub>7</sub>H<sub>5</sub>BiO<sub>4</sub>.
blank check company	# A company that exists solely for the purpose of merging with or acquiring another entity.
bra chain	# A chain of interlocked bras, constructed as a charity-raising event, or to try to break a record
browning	# The act or operation of giving a brown colour, as to gun barrels, cooked food, etc.# Any of various preparations used to impart a brown colour to gravy, leather, etc.# en A smooth coat of brown mortar, usually the second coat, and the preparation for the finishing coat of plaster.# en A brown-skinned person.|lang=en|year=2017|artist=Mackareo|title='''Peng Ting'''|passage=One or two white gyal / Three or four lighties / Five or six darkies / Seven or eight '''brownings'''}}
beamspace	# en A beam of particles treated as a mathematical space.
bariomicrolite	# en An isometric-hexoctahedral mineral containing barium, hydrogen, niobium, oxygen, and tantalum.
breakdown point	# en The number or proportion of arbitrarily large or small extreme values that must be introduced into a batch or sample to cause the estimator to yield an arbitrarily large result.
biosocially	# In a biosocial context.
biocoenose	# A living collection of life forms that are found together, interacting as a community within an ecosystem.
bitumenised	# Treated, or coated, with bitumen
boastive	# en presumptuous
Beatine	# Of or relating to Beatus of Liébana, an 8th-century Spanish monk.
biowoman	# A cisgender woman.
booby hut	# en A carriage body put upon sleigh runners.#: 
bitterwort	# The  (), which has a very bitter taste.
book-learning	# theoretical|Theoretical or academic knowledge acquired by reading books and/or through formal education, as opposed to practical or empirical knowledge of real life and the real world, gained through experience, or native as street smarts, common sense, or intuition.
bulette	# en A fictional species of land-dwelling shark in various fantasy settings, such as ''w:Dungeons & Dragons|Dungeons & Dragons''.
baggage cart	# A luggage cart.
bornellid	# en Any member of the Bornellidae.
bull butter	# en margarine# en bullshit
bordonua	# en A large stringed instrument of Puerto Rican origin, a low-pitched version of the guitar-like cuatro.
baglo	# A two-masted trading boat.
bisabolol	# A natural monocyclic sesquiterpene alcohol.
beachfront	# The portion of land or property that runs alongside and facing a beach.
bending	# A motion or action that bends.#: ''a '''bending''' of the knees''# An instance of something being adapted or distorted.#: '''''bendings''' of the rules''
beat the pants off	# en To thoroughly and decisively defeat someone, either in a physical fight or, figuratively, in a competition.
BARS	# A high-pressure high-temperature apparatus usually used for growing or processing minerals, especially diamond.
babycakes	# en Term of endearment for a young woman.
brawned	# en brawny; strong; muscular#: 
bunamiodyl	# A particular iodinated contrast medium, withdrawn because of health concerns.
brawner	# A boar killed for the table.
bescratch	# en To scratch; scratch about; scratch all over.
biometrics	# The automated measurement of biological data.# The measurement and recording of the physical characteristics of an individual for use in subsequent personal identification.
bilioenteric	# Relating to the bile duct and the intestines
bewdy	# en Used to express enthusiasm, pleasure or approval.#: ''I scored us a couple of tickets to the match on Saturday.'' — '''''Bewdy''', mate!''
buccohypophysial	# buccal and hypophysial
behind	# the rear, back-end# en butt, the buttocks, bottom# en A one-point score.# en The catcher.# In the Eton College field game, any of a group of players consisting of two "shorts" (who try to kick the ball over the bully) and a "long" (who defends the goal).
black	# To make black, to blacken.<!--#:''You come round here again and I'll '''black''' your eyes!''--># To apply blacking to something.# en To boycott something or someone, usually as part of an industrial dispute.
bringer	# A person who, or a thing which, brings something.
bambocciade	# A painting depicting a grotesque scene from common or rustic life.
biopedturbation	# en The mixing or disturbance of soil by living organisms, as opposed to disturbance of other media such as sediment or leaf litter.
biogeodynamics	# en The (study of the) interplay of biological and geological systems
bookwright	# A writer of books; an author.
bubal	# An extinct subspecies of the hartebeest, , which was formerly native to northern Africa
